ifi_id,account_holder_id,kyc_status,expiry_time,kyc_status_post_expiry,created_at,modified_at,created_by,updated_by,_load_ts_ms,attributes,cdc_source_ts_ms,cdc_op
600309,5535f313-7d99-4e76-855c-501d2ec67d68,EXTERNAL,2024-10-16 13:23:59.083000,SHORT_FALL,2023-10-16 13:23:59.125000,2023-10-16 13:23:59.125000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/740,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/740,1697462926000,"""{\""pan\"":\""TQPAY8900Z\"",\""valid\"":\""test\"",\""docUrl\"":\""test\"",\""docType\"":\""KYC-TOKEN\"",\""kycType\"":\""KYC-TOKEN\"",\""authType\"":\""PAN\"",\""docValue\"":\""test\"",\""docIssuer\"":\""TruValidate\"",\""validationDate\"":\""2023-09-14\"",\""validationSource\"":\""TruValidate\""}""",1697462639230,
140793,bc6dc88c-1b5f-4b7e-a041-109aa34ff061,MINIMAL,2024-03-13 13:24:12.941000,,2023-03-13 13:24:12.944000,2023-03-13 13:24:12.944000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1681510941000,"{""aadhaar"":""kkcZB9229Z"",""kycType"":""V_KYC"",""authType"":""Video""}",,
140793,b659dc51-cc0b-4ff0-884d-e8cdf12095a0,MINIMAL,2024-03-21 10:09:54.944000,,2023-03-21 10:09:54.952000,2023-03-21 10:09:54.952000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1681510941000,"{""aadhaar"":""kkcZB9229Z"",""kycType"":""V_KYC"",""authType"":""Video""}",,
140793,8c53d5b5-5f44-41c0-99fc-469e52444996,MINIMAL,2024-03-21 10:10:00.882000,,2023-03-21 10:10:00.912000,2023-03-21 10:10:00.912000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1681510941000,"{""aadhaar"":""kkcZB9229Z"",""kycType"":""V_KYC"",""authType"":""Video""}",,
140793,30e8c429-f5a0-4578-89a5-9c6f6ed02f4d,AADHAAR_OTP,2024-04-23 07:24:58.873000,,2023-04-23 07:24:58.876000,2023-04-23 07:24:58.876000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1686907416000,"""{\""aadhaar\"": \""kvzZB5129Z\"", \""kycType\"": \""V_KYC\"", \""authType\"": \""Video\""}""",1686906568030,
140793,be18a7f6-1a46-4a7f-91d0-10543fb16b39,AADHAAR_OTP,2024-04-23 07:26:01.814000,,2023-04-23 07:26:01.892000,2023-04-23 07:26:01.892000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1686910873000,"""{\""aadhaar\"": \""kvzZB5129Z\"", \""kycType\"": \""V_KYC\"", \""authType\"": \""Video\""}""",1686910318706,
600309,da00704b-8107-4e74-b65a-2dc89042e9f5,External,2022-07-13 05:46:30,,2023-09-27 06:36:50.417000,2023-09-27 06:36:50.417000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,1695796939000,"""{\""kycType\"":\""EXTERNAL\"",\""authType\"":\""EXTERNAL\""}""",1695796610531,
600309,005c4d11-cbbd-4344-b9d1-a2339d4c1dbf,External,2022-07-13 05:46:30,,2023-09-27 07:26:14.327000,2023-09-27 07:26:14.327000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/650,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/650,1695799900000,"""{\""kycType\"":\""EXTERNAL\"",\""authType\"":\""EXTERNAL\""}""",1695799574346,
600309,1fbdf459-428d-43fd-a7a4-ed64c0a91b73,External,2022-07-13 05:46:30,,2023-09-27 07:29:32.702000,2023-09-27 07:29:32.702000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/650,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/650,1695800246000,"""{\""kycType\"":\""EXTERNAL\"",\""authType\"":\""EXTERNAL\""}""",1695799772732,
600309,d9c41003-396b-4039-a762-0992636d11c6,EXTERNAL,2024-09-29 04:49:30.762000,,2023-09-29 04:49:30.768000,2023-09-29 04:49:30.768000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/660,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/660,1695963289000,"""{\""valid\"":\""true\"",\""docUrl\"":\""https://console.trustev.com/\"",\""docType\"":\""KYC-TOKEN\"",\""docValue\"":\""100694\"",\""docIssuer\"":\""TruValidate\"",\""validationDate\"":\""2023-08-17\"",\""validationSource\"":\""TruValidate\""}""",1695962970790,
